Username,Comment,Comment Date
@Mimiochan_156,2 2 2 2 2,2024-04-09T01:28:21Z
@ariariyana874,QWERTYUIOPASDFGHJKL,2024-03-30T01:50:48Z
@ismailahmad3092,Pendukung 01 nangis lihat in😂😂😂😂,2024-03-19T22:57:21Z
@sofyanlaha8658,"Pemilu kedepan biarlah DPR RI saja yg memilih, biar anggaran jangan terlalu besar, serta mengurangi kecurangan....",2024-03-19T11:31:41Z
@Qorinnn31,Sapa bae presiden ne  jarkua ra patia ngaruh  pd bae,2024-03-18T02:55:41Z
@aviromantino,"SAYA TIDAK TAKUT TIDAK PUNYA JABATAN MAS ANIIIISS...!!!<br>Maka dari itu, <br>SORI YA..!! SORRII YEEE.. KLO SAYA HARUS CURANG...!!<br>😎😎😂😂😂",2024-03-17T23:24:03Z
@ibnuarobi3390,Ngabuburit nih jam 17😅,2024-03-17T18:48:49Z
@juniorgaming7258,"Ya udhlah pasti pak pranowo menang mau gimanapun, bener kata bung rocky gerung dalam analisa politinya pasti menang pak probowo,udh jgn berktengkar lagi , malu sm negara tetangga tiap pemilu berantem mulu, pokoknya apapun hasilnya itulah mungkin terbaiknya ,",2024-03-17T16:17:51Z
@erwindewi6945,Menang merayakan kala menjelaskan...😂😂😂😂😂😂....kocak kala y kala aj la bos.....,2024-03-17T13:57:14Z
@dwisatriyaprajna6436,"aku heran sih.... ini yang ngehitung kan orang2 dimasing2 daerah, di masing2 TPU.... dan orang2 yang jadi panitia atau apalah itu kan adalah orang2 yang berbeda2 di setiap daerah... gimana ceritanya dari ratusan TPU di 37/38 provinsi di Indonesia ini, bisa salah hitung, curang atau di modifikasi, masa iya ratusan orang ini semuanya punya pikiran yang sana untuk curang, dan lagi kalaupun mereka merasa hasil hitungnya tidak sesuai dengan yang mereka hitung bukannya mereka bisa transparan?... secara kan yang menghitung dan tau datanya di setiap provinsi kan bukan satu dua orang, kan banyak... masa iya di 38 provinsi hampir semua orang2 TPU nya curang ngisi nomer 02? ratusan TPU loh... dan itu presentasenya udah selisih jauh banget, curang dari mana coba? mau dibilang curang juga ga masuk akal karena emang yang dukung no 2 emang sebanyak itu... perasaan tiap pilpres ada aja yang bilang curang emangnya sistem pilpres kita se-bobrok itu kah? sampai dikit2 disebut curang..",2024-03-17T13:11:51Z
@dianprasetyo7192,Jawa Timur All In ✌️😁,2024-03-17T12:56:50Z
@widiartyening4705,Makin yakin satu putaran,2024-03-17T12:22:10Z
@inr_jilbabmalang,Alhamdulillah,2024-03-17T11:28:30Z
@Scientist_toilet162,8+8= ganjar<br>12+12= anies<br>29+29= prabowo,2024-03-17T06:38:52Z
@ikapaputungan9043,Alhamdulillah,2024-03-17T03:48:52Z
